SenDist_en,SenDistPcode,SenDistRefName,SenDistAltName1_en,SenDistAltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,Population2016
Katsina South,NG02103,Katsina South,<Null>,<Null>,Katsina,NG021,Nigeria,NG,2503903 
Kebbi Central,NG02201,Kebbi Central,<Null>,<Null>,Kebbi,NG022,Nigeria,NG,1361302 
Kebbi North,NG02202,Kebbi North,<Null>,<Null>,Kebbi,NG022,Nigeria,NG,1627429 
Kebbi South,NG02203,Kebbi South,<Null>,<Null>,Kebbi,NG022,Nigeria,NG,1322723 
Kogi Central,NG02301,Kogi Central,<Null>,<Null>,Kogi,NG023,Nigeria,NG,1167307 
Kogi East,NG02302,Kogi East,<Null>,<Null>,Kogi,NG023,Nigeria,NG,1959174 
Kogi West,NG02303,Kogi West,<Null>,<Null>,Kogi,NG023,Nigeria,NG,1200765 
Kwara Central,NG02401,Kwara Central,<Null>,<Null>,Kwara,NG024,Nigeria,NG,1311678 
Kwara North,NG02402,Kwara North,<Null>,<Null>,Kwara,NG024,Nigeria,NG,998103 
Kwara South,NG02403,Kwara South,<Null>,<Null>,Kwara,NG024,Nigeria,NG,819801 
Lagos West,NG02501,Lagos West,<Null>,<Null>,Lagos,NG025,Nigeria,NG,7484978 
Lagos Central,NG02502,Lagos Central,<Null>,<Null>,Lagos,NG025,Nigeria,NG,2062721 
Lagos East,NG02503,Lagos East,<Null>,<Null>,Lagos,NG025,Nigeria,NG,2554539 
Nassarawa South,NG02601,Nassarawa South,<Null>,<Null>,Nasarawa,NG026,Nigeria,NG,1070459 
Nassarawa North,NG02602,Nassarawa North,<Null>,<Null>,Nasarawa,NG026,Nigeria,NG,442761 
Nassarawa West,NG02603,Nassarawa West,<Null>,<Null>,Nasarawa,NG026,Nigeria,NG,946101 
Niger East,NG02701,Niger East,<Null>,<Null>,Niger,NG027,Nigeria,NG,1937784 
Niger North,NG02702,Niger North,<Null>,<Null>,Niger,NG027,Nigeria,NG,1686929 
Niger South,NG02703,Niger South,<Null>,<Null>,Niger,NG027,Nigeria,NG,1769918 
Ogun Central,NG02801,Ogun Central,<Null>,<Null>,Ogun,NG028,Nigeria,NG,1855031 
Ogun East,NG02802,Ogun East,<Null>,<Null>,Ogun,NG028,Nigeria,NG,1690387 
Ogun West,NG02803,Ogun West,<Null>,<Null>,Ogun,NG028,Nigeria,NG,1502933 
Ondo Central,NG02901,Ondo Central,<Null>,<Null>,Ondo,NG029,Nigeria,NG,1516000 
Ondo North,NG02902,Ondo North,<Null>,<Null>,Ondo,NG029,Nigeria,NG,1405553 
Ondo South,NG02903,Ondo South,<Null>,<Null>,Ondo,NG029,Nigeria,NG,1620226 
Osun Central,NG03001,Osun Central,<Null>,<Null>,Osun,NG030,Nigeria,NG,1411322 
